IP地址,数据中心,地区,城市,网络延迟
2a06:98c1:310f:fd85:fbcd:7e22:4fb1:e05a,LAX,北美洲,洛杉矶,144 ms
2606:4700:59:d5b2:492a:788a:caf8:9629,LAX,北美洲,洛杉矶,147 ms
2803:f800:54:3ff2:305d:31c3:e551:f07d,LAX,北美洲,洛杉矶,148 ms
2606:4700:7:f304:a382:2161:4e28:9e1e,LAX,北美洲,洛杉矶,148 ms
2606:4700:3056:62e2:85cc:6b30:bac4:f3ce,LAX,北美洲,洛杉矶,149 ms
2a06:98c1:3100:4d2c:2980:a26c:2dcc:3c,LAX,北美洲,洛杉矶,149 ms
2606:4700:a0:fc2:8208:c7cf:dcb8:83cd,LAX,北美洲,洛杉矶,151 ms
2606:4700:4405:59f6:96d:e55a:24f:aedc,LAX,北美洲,洛杉矶,151 ms
2606:4700:6:c6ce:c02b:b341:dc89:c3f4,LAX,北美洲,洛杉矶,152 ms
2606:4700:c:2fb:2a44:be02:ab8c:9477,LAX,北美洲,洛杉矶,152 ms
2606:4700:3002:3c40:79fb:b4ea:46c8:4e3a,LAX,北美洲,洛杉矶,153 ms
2a06:98c1:52:1527:e7a7:a539:38c9:b13c,LAX,北美洲,洛杉矶,154 ms
2606:4700:311f:49db:73fd:4c5f:ef87:c5e,LAX,北美洲,洛杉矶,154 ms
2803:f800:50:255:a202:4304:5e1e:bfc6,LAX,北美洲,洛杉矶,154 ms
2a06:98c1:310c:522b:34b6:96db:9bf3:323,LAX,北美洲,洛杉矶,155 ms
2606:4700:51:1b80:547e:951e:c4b2:77fc,LAX,北美洲,洛杉矶,155 ms
2606:4700:5a:6e8e:9d65:409a:2d87:531e,LAX,北美洲,洛杉矶,155 ms
2606:4700:311e:51c3:14fc:4954:ecaf:6c40,LAX,北美洲,洛杉矶,155 ms
2606:4700:311a:5296:f0c5:2a52:aad3:42eb,LAX,北美洲,洛杉矶,155 ms
2803:f800:51:5077:bf11:1409:5d66:7616,LAX,北美洲,洛杉矶,155 ms
2a06:98c1:3108:4cfa:a7f7:6d73:9425:8738,LAX,北美洲,洛杉矶,155 ms
2606:4700:53:6007:82b3:130d:4cb1:fe32,LAX,北美洲,洛杉矶,155 ms
2606:4700:52:c71f:5fe3:c981:f7ec:b69,LAX,北美洲,洛杉矶,155 ms
2606:4700:4408:9b86:9c60:7c51:b815:834d,LAX,北美洲,洛杉矶,156 ms
2a06:98c1:3101:dd41:c64d:788b:5d9d:76c0,LAX,北美洲,洛杉矶,156 ms
2606:4700:e:bcae:fc00:157f:1b5a:5722,LAX,北美洲,洛杉矶,156 ms
2606:4700:101:ac42:585c:763a:a791:657a,LAX,北美洲,洛杉矶,156 ms
2a06:98c1:3105:a945:ad3e:bf89:7898:6fb0,LAX,北美洲,洛杉矶,157 ms
2606:4700:3110:639:4d5c:fc72:e244:7437,LAX,北美洲,洛杉矶,157 ms
2a06:98c1:3102:c3a4:a125:80a7:9565:6f47,LAX,北美洲,洛杉矶,157 ms
2606:4700:2b:7f97:59d4:f90e:6d22:5527,LAX,北美洲,洛杉矶,157 ms
2606:4700:3055:ca07:baab:c051:9166:7881,LAX,北美洲,洛杉矶,157 ms
2606:4700:3113:73fa:f8f7:1947:80bd:bea0,LAX,北美洲,洛杉矶,157 ms
2606:4700:311b:bda4:d5f6:4663:eebb:f93e,LAX,北美洲,洛杉矶,158 ms
2606:4700:3024:eb31:739d:f238:8fee:522e,LAX,北美洲,洛杉矶,158 ms
2606:4700:5:a0a4:d7c1:5af1:abc5:82d6,LAX,北美洲,洛杉矶,158 ms
2606:4700:18:36a5:c35e:f56b:1bf0:7ac8,LAX,北美洲,洛杉矶,159 ms
2606:4700:3007:d2e7:2976:9b7a:604c:70db,LAX,北美洲,洛杉矶,159 ms
2606:4700:300a:6d32:245d:b86a:e024:bbf8,LAX,北美洲,洛杉矶,159 ms
2606:4700:3108:ea3f:fb53:a5e:3f50:ea3c,LAX,北美洲,洛杉矶,159 ms
2400:cb00:f00e:af38:c103:a7b7:c9ff:aebf,LAX,北美洲,洛杉矶,160 ms
2606:4700:3001:df3f:cfe5:6522:2315:3f7f,LAX,北美洲,洛杉矶,160 ms
2606:4700:5c:b0bd:a64a:2b42:85a8:9a1f,LAX,北美洲,洛杉矶,160 ms
2a06:98c1:310a:4098:f0bc:e35a:4c26:f990,LAX,北美洲,洛杉矶,160 ms
2a06:98c1:3109:a851:724:ffcd:86ae:2826,LAX,北美洲,洛杉矶,160 ms
2a06:98c1:53:463e:81f0:5e30:160a:ccca,LAX,北美洲,洛杉矶,160 ms
2a06:98c1:3107:b76d:7fba:48b5:b6c5:34f3,LAX,北美洲,洛杉矶,160 ms
2606:4700:58:705b:94bd:7c38:2a06:e3a8,LAX,北美洲,洛杉矶,160 ms
2606:4700:4:543b:5190:c693:69d4:cefd,LAX,北美洲,洛杉矶,160 ms
2606:4700:3003:f89e:21da:67bd:e6c9:459e,LAX,北美洲,洛杉矶,160 ms
2803:f800:52:3cb8:3e5d:636:fc9c:2e03,LAX,北美洲,洛杉矶,160 ms
2a06:98c1:3106:5f81:85a8:2a37:6e6:e7e6,LAX,北美洲,洛杉矶,160 ms
2606:4700:54:e49e:70cd:d665:1606:254b,LAX,北美洲,洛杉矶,160 ms
2a06:98c1:310e:249b:e2d7:4252:4f23:ca74,LAX,北美洲,洛杉矶,160 ms
2606:4700:4400:d62a:281:7931:3c63:e4f0,LAX,北美洲,洛杉矶,160 ms
2606:4700:4402:fff0:fdde:2cc6:b90d:9be3,LAX,北美洲,洛杉矶,161 ms
2606:4700:56:c4c3:34e7:2e59:5e6a:2b1c,LAX,北美洲,洛杉矶,161 ms
2606:4700:2:3e73:5b29:8a91:8cf4:3625,LAX,北美洲,洛杉矶,161 ms
2a06:98c1:3104:73e2:ff4e:b606:2da:359d,LAX,北美洲,洛杉矶,161 ms
2606:4700:4407:db9e:d3f0:b0f4:77b9:a62b,LAX,北美洲,洛杉矶,161 ms
2606:4700:440b:90bb:3393:30e0:44c4:b88b,LAX,北美洲,洛杉矶,161 ms
2606:4700:5b:f543:c36a:b6d0:c0b2:6603,LAX,北美洲,洛杉矶,161 ms
2606:4700:d:fbd1:4491:89e7:3441:bb96,LAX,北美洲,洛杉矶,162 ms
2606:4700:4406:3b21:b7d8:168a:def8:e142,LAX,北美洲,洛杉矶,162 ms
2606:4700:b:a4dc:de0c:a138:b543:ff09,LAX,北美洲,洛杉矶,162 ms
2a06:98c1:50:946e:e80f:55e9:bfa7:6585,LAX,北美洲,洛杉矶,162 ms
2606:4700:a:ec8:744b:a6ec:407c:9905,LAX,北美洲,洛杉矶,162 ms
2606:4700:4403:3bc7:6171:c152:2818:693,LAX,北美洲,洛杉矶,162 ms
2606:4700:4409:ca49:ec0:3676:ae36:ec55,LAX,北美洲,洛杉矶,162 ms
2606:4700:440e:523a:6e97:7f64:636e:a92,LAX,北美洲,洛杉矶,162 ms
2400:cb00:2049:6ebf:4e82:6a19:5124:515e,LAX,北美洲,洛杉矶,163 ms
2606:4700:440a:7d17:4a62:4087:a8eb:dace,LAX,北美洲,洛杉矶,163 ms
2606:4700:10f:ceaf:2fb0:c084:cea2:a02,LAX,北美洲,洛杉矶,163 ms
2606:4700:440d:d58f:43af:1f26:a0b:29be,LAX,北美洲,洛杉矶,163 ms
2a06:98c1:310d:65a0:e0d6:71b3:9465:ec0,LAX,北美洲,洛杉矶,163 ms
2606:4700:4700:b842:5b2e:7909:b909:6f66,LAX,北美洲,洛杉矶,163 ms
2606:4700:8:a525:3f49:6079:9eac:1105,LAX,北美洲,洛杉矶,164 ms
2a06:98c1:51:5086:eeb5:21b1:2da5:1067,LAX,北美洲,洛杉矶,164 ms
2606:4700:440c:e6ac:d043:8570:1d42:b6cb,LAX,北美洲,洛杉矶,164 ms
2606:4700:3112:813f:8a3f:e0c4:846e:f5d5,LAX,北美洲,洛杉矶,164 ms
2606:4700:50:1911:f668:80e8:a239:3a50,LAX,北美洲,洛杉矶,164 ms
2606:4700:a1:dde9:a925:dc86:700c:34b2,LAX,北美洲,洛杉矶,165 ms
2606:4700:310c:4e95:48ca:d0c0:e297:cb22,LAX,北美洲,洛杉矶,165 ms
2606:4700:311c:af7e:372b:8ff6:19a3:cb43,LAX,北美洲,洛杉矶,165 ms
2606:4700:3009:b968:7867:5043:abd2:d8a9,LAX,北美洲,洛杉矶,165 ms
2606:4700:311d:3587:aa03:7f1e:d9d:d662,LAX,北美洲,洛杉矶,165 ms
2606:4700:f:a53:fe8c:c9ab:b2db:4cd4,LAX,北美洲,洛杉矶,165 ms
2a06:98c1:310b:2722:2753:ff22:55f3:3786,LAX,北美洲,洛杉矶,165 ms
2606:4700:440f:aba6:496d:98ee:4efa:ec17,LAX,北美洲,洛杉矶,166 ms
2803:f800:53:d4c9:46dd:c986:2682:77c6,LAX,北美洲,洛杉矶,166 ms
2606:4700:4404:7cee:11ef:504b:dbf3:f371,LAX,北美洲,洛杉矶,166 ms
2606:4700:3119:29cb:e5b3:c500:8351:66b8,LAX,北美洲,洛杉矶,166 ms
2606:4700:4401:4265:e95d:429c:3cfa:747,LAX,北美洲,洛杉矶,166 ms
2a06:98c1:58:34e8:8a6c:2428:80e0:a55d,LAX,北美洲,洛杉矶,168 ms
2a06:98c1:3103:deb1:276f:2589:5a2:2b75,LAX,北美洲,洛杉矶,168 ms
2606:4700:3006:40ed:62ad:b7f8:37ab:2e96,LAX,北美洲,洛杉矶,169 ms
2606:4700:2d:159b:7871:83dc:ab5c:db6d,LAX,北美洲,洛杉矶,169 ms
2606:4700:3116:8e1:a823:995a:28d4:a4f3,LAX,北美洲,洛杉矶,169 ms
2606:4700:0:77b5:bc8f:1f32:5434:e037,LAX,北美洲,洛杉矶,169 ms
2606:4700:2f:a95a:1b2:add7:ac95:d6e1,LAX,北美洲,洛杉矶,170 ms
2606:4700:300b:f9c0:4c16:203f:4c93:92a9,LAX,北美洲,洛杉矶,171 ms
2606:4700:3000:5d5b:84cc:5b09:f2ea:1e10,LAX,北美洲,洛杉矶,171 ms
2606:4700:3:176f:130f:b742:520e:8612,LAX,北美洲,洛杉矶,171 ms
2606:4700:9:117c:3a4c:dd04:81d2:f0c0,LAX,北美洲,洛杉矶,171 ms
2606:4700:3004:2bdd:6fc2:84d9:a2a7:270b,LAX,北美洲,洛杉矶,172 ms
2606:4700:3005:a948:930a:3a1d:7917:c2c9,LAX,北美洲,洛杉矶,172 ms
2606:4700:3011:510c:fe1c:1de6:d749:e10b,LAX,北美洲,洛杉矶,175 ms
2606:4700:3115:470a:337:c3a0:7af:6e60,LAX,北美洲,洛杉矶,187 ms
2606:4700:3036:76c2:3a79:95e1:6097:9b0c,SEA,北美洲,西雅图,193 ms
2606:4700:13d:52d4:fefb:b214:6009:789,SLC,北美洲,盐湖城,195 ms
2606:4700:29:71f5:b826:641e:c06f:1cd4,SEA,北美洲,西雅图,198 ms
2606:4700:3118:1f83:731e:4731:cad9:b42e,LAX,北美洲,洛杉矶,198 ms
2a06:98c1:3122:c2e3:9cb9:b42d:158a:b93b,SEA,北美洲,西雅图,200 ms
2606:4700:3117:bbe6:3af3:9a6b:2213:9fc5,LAX,北美洲,洛杉矶,206 ms
2606:4700:1b:6b1c:991a:b9f4:4409:b13,SEA,北美洲,西雅图,207 ms
2606:4700:3022:291d:547e:1ce4:a65:d57f,DFW,北美洲,达拉斯,208 ms
2606:4700:133:4330:78d1:8106:c560:a0a6,DFW,北美洲,达拉斯,211 ms
2606:4700:13f:7f22:171e:3b3e:48e9:27ea,SEA,北美洲,西雅图,212 ms
2606:4700:3012:7d34:9c81:12ec:47c3:f0de,DFW,北美洲,达拉斯,213 ms
2606:4700:3021:325d:cd7f:f50f:970b:6e7e,DFW,北美洲,达拉斯,216 ms
2606:4700:13c:1703:86b0:ce64:46b7:ca66,SEA,北美洲,西雅图,217 ms
2606:4700:14:c45b:effb:719a:b19e:8a38,SEA,北美洲,西雅图,218 ms
2606:4700:3008:3f26:39b2:2692:dabe:8956,SJC,北美洲,圣何塞,218 ms
2606:4700:13b:161d:4f57:f62a:1765:bdf7,SEA,北美洲,西雅图,219 ms
2606:4700:134:4791:a203:59ed:e3f1:a5b7,SEA,北美洲,西雅图,220 ms
2a06:98c1:56:9a45:d6ce:8ad1:be42:fb4b,SJC,北美洲,圣何塞,221 ms
2606:4700:3035:8903:512:cee0:8f15:a3c4,SEA,北美洲,西雅图,221 ms
2a06:98c1:3123:7983:27ef:5063:a3b0:9b98,SEA,北美洲,西雅图,222 ms
2606:4700:3114:ec88:e14c:c072:78f8:b330,LAX,北美洲,洛杉矶,223 ms
2606:4700:16:b454:935d:c5b0:82f6:26ad,SEA,北美洲,西雅图,223 ms
2606:4700:135:6a4:8e03:6b79:fd5a:c2a4,SEA,北美洲,西雅图,223 ms
2606:4700:137:f8b7:5277:af69:d30f:33c7,SEA,北美洲,西雅图,224 ms
2606:4700:11:df67:fbc4:16ae:341e:bb74,DFW,北美洲,达拉斯,224 ms
2606:4700:f4:d144:e725:24cf:7d70:e77f,SEA,北美洲,西雅图,225 ms
2606:4700:136:27ca:bb88:5bbc:d9b7:a1b8,DFW,北美洲,达拉斯,225 ms
2606:4700:3111:8c65:6951:ae66:f57c:e5c5,LAX,北美洲,洛杉矶,225 ms
2606:4700:130:162:c750:4777:be12:1f56,SEA,北美洲,西雅图,226 ms
2606:4700:138:f08c:249e:713b:f912:81ee,DEN,北美洲,丹佛,227 ms
2606:4700:3039:b788:c7f3:20f8:2c7:645d,DFW,北美洲,达拉斯,229 ms
2606:4700:28:142d:1571:d896:c632:a88f,DFW,北美洲,达拉斯,230 ms
2606:4700:3020:eda3:111c:e88b:3fe6:15c3,DFW,北美洲,达拉斯,230 ms
2606:4700:3032:3812:a2a5:371e:1d6e:ef8e,DFW,北美洲,达拉斯,230 ms
2606:4700:1d:1963:253f:d486:92f:34bc,SEA,北美洲,西雅图,231 ms
2606:4700:2c:3e19:c792:f6db:17c4:8821,DFW,北美洲,达拉斯,234 ms
2606:4700:3030:165e:49c7:d56d:60c2:4274,DFW,北美洲,达拉斯,234 ms
2606:4700:13a:9f5b:5551:8b13:8a57:b90c,SEA,北美洲,西雅图,234 ms
2606:4700:1:8ca0:a261:898b:8baa:91a9,SJC,北美洲,圣何塞,235 ms
2606:4700:2a:8bfe:db78:9ae0:6c8:fd15,SEA,北美洲,西雅图,237 ms
2606:4700:25:934d:c6f6:4b3f:aa39:41bd,DFW,北美洲,达拉斯,237 ms
2606:4700:26:83de:1954:7bea:2e8b:6119,DFW,北美洲,达拉斯,237 ms
2606:4700:21:d9f2:fba6:3020:3870:6298,DFW,北美洲,达拉斯,237 ms
2606:4700:1a:d287:e8b1:510:af27:e8a7,SEA,北美洲,西雅图,238 ms
2606:4700:13:b0b:7575:151d:e850:4466,SEA,北美洲,西雅图,239 ms
2606:4700:a9:6438:6033:8953:7685:762f,SJC,北美洲,圣何塞,239 ms
2606:4700:24:78ab:d21c:a59d:2ee2:d450,DFW,北美洲,达拉斯,240 ms
2606:4700:3029:e58d:e562:74ca:b8ca:5a7c,DFW,北美洲,达拉斯,241 ms
2606:4700:3037:9773:dfdc:7c79:72f4:908d,DFW,北美洲,达拉斯,241 ms
2606:4700:2e:3d5b:42c1:d49a:72c7:d946,DFW,北美洲,达拉斯,241 ms
2606:4700:3031:470f:afbe:8e8b:1e58:5c1,DFW,北美洲,达拉斯,242 ms
2606:4700:1c:efb1:f941:24a7:f683:e6bd,DFW,北美洲,达拉斯,242 ms
2606:4700:3014:b35f:8fd5:d395:f68d:9909,DFW,北美洲,达拉斯,242 ms
2606:4700:22:9883:2259:5c53:9882:5220,DFW,北美洲,达拉斯,243 ms
2a06:98c1:3121:d2c2:e839:c90d:7b18:2b3c,SJC,北美洲,圣何塞,243 ms
2606:4700:3013:302a:84fb:9116:3ec3:8e4f,DFW,北美洲,达拉斯,245 ms
2606:4700:3017:cc11:631e:5468:88a1:e721,DFW,北美洲,达拉斯,246 ms
2606:4700:1e:c604:d1e7:8c6a:5069:15cd,SEA,北美洲,西雅图,246 ms
2606:4700:3027:24b8:bd9d:4753:e813:62cb,DFW,北美洲,达拉斯,246 ms
2606:4700:1f:bd3b:9566:390f:43a4:95a6,SEA,北美洲,西雅图,247 ms
2a06:98c1:3120:5e50:6a4e:ceae:5aee:58f8,SJC,北美洲,圣何塞,247 ms
2606:4700:13e:7acc:a240:6e24:8e4b:dc3d,DFW,北美洲,达拉斯,249 ms
2606:4700:3025:eefc:6fa7:29ff:49b7:e76d,DFW,北美洲,达拉斯,249 ms
2606:4700:57:26b2:b4b1:146b:a04c:a70a,SJC,北美洲,圣何塞,250 ms
2606:4700:3038:86f7:2b20:41d0:33a3:a15a,DFW,北美洲,达拉斯,250 ms
2606:4700:3034:2a58:a1df:4c1b:1ead:3739,DFW,北美洲,达拉斯,250 ms
2606:4700:3028:eaf0:ac0:df7e:ac72:9e2,DFW,北美洲,达拉斯,250 ms
2606:4700:10:5b54:9010:beb2:b7f:b01a,SEA,北美洲,西雅图,250 ms
2606:4700:3026:7a6e:3fd7:3d66:ea86:c7fd,DFW,北美洲,达拉斯,253 ms
2606:4700:3033:fc45:db48:2796:201a:7a89,DFW,北美洲,达拉斯,253 ms
2606:4700:139:d800:bab8:dd47:279f:23e4,DEN,北美洲,丹佛,254 ms
2606:4700:12:d2c1:d785:e965:77ca:6960,SEA,北美洲,西雅图,255 ms
2606:4700:20:8f5c:8ca0:d556:9001:4274,DFW,北美洲,达拉斯,259 ms
2606:4700:3023:39b2:854c:cbaa:2d30:6637,SEA,北美洲,西雅图,260 ms
2606:4700:3019:4cb7:9f51:cb8c:9174:8951,DFW,北美洲,达拉斯,264 ms
2606:4700:15:c987:fd4a:6653:5e1f:b1da,SEA,北美洲,西雅图,265 ms
2606:4700:3018:3201:c1e5:f843:3550:fed1,DFW,北美洲,达拉斯,271 ms
2606:4700:17:d3aa:c346:e195:9d99:9df0,DFW,北美洲,达拉斯,272 ms
2606:4700:131:f752:82be:5570:f1e9:3efb,DFW,北美洲,达拉斯,273 ms
2606:4700:23:9f2c:8d03:2039:efbc:a54c,DFW,北美洲,达拉斯,275 ms
2606:4700:132:6a3d:b73f:39a:fe2d:6823,DFW,北美洲,达拉斯,276 ms
2606:4700:27:dade:727d:1bb5:b4b9:4662,DFW,北美洲,达拉斯,279 ms
2606:4700:3015:5ac3:584e:6170:53c8:4fdf,SEA,北美洲,西雅图,281 ms
2606:4700:3016:481b:5ebe:37e1:a6b7:5ac2,SEA,北美洲,西雅图,285 ms
2606:4700:19:d663:f41b:f552:29fa:b3b1,DFW,北美洲,达拉斯,288 ms
2606:4700:3010:2c12:7f9b:cc69:937c:4a98,SEA,北美洲,西雅图,291 ms
2606:4700:9a91:729a:d3b:c407:300d:2b6f,CDG,欧洲,巴黎,321 ms
2606:4700:9a68:9609:4b9b:b697:dd5e:1591,CDG,欧洲,巴黎,322 ms
2606:4700:9ad7:7d2:d6b2:1c1e:79e3:f59c,CDG,欧洲,巴黎,322 ms
2606:4700:9a9f:e080:6e39:efb2:7ea1:e9e9,CDG,欧洲,巴黎,324 ms
2606:4700:9a90:a931:5172:3ad0:bf02:5436,CDG,欧洲,巴黎,325 ms
2606:4700:8d96:20b8:fe0e:d1e0:d1ea:6135,CDG,欧洲,巴黎,325 ms
2606:4700:9a6a:9546:e864:e364:4430:99bd,CDG,欧洲,巴黎,325 ms
2606:4700:99eb:f9c0:bf29:f91f:b180:6c8b,CDG,欧洲,巴黎,327 ms
2606:4700:9a6d:3191:cc85:abce:c271:96ce,CDG,欧洲,巴黎,327 ms
2606:4700:91b5:16ef:27ae:b8bd:ed7e:d875,CDG,欧洲,巴黎,327 ms
2606:4700:90d3:3b2f:25a5:62b0:60bc:d6df,CDG,欧洲,巴黎,328 ms
2606:4700:99ea:4210:74ca:81a1:6071:3220,CDG,欧洲,巴黎,328 ms
2606:4700:9c67:187d:d578:17c7:9a0:14d4,CDG,欧洲,巴黎,329 ms
2606:4700:8ddf:354f:c18b:97c6:1c5c:f392,CDG,欧洲,巴黎,329 ms
2606:4700:8d93:d9c2:f1b1:d3f0:78d9:23f4,CDG,欧洲,巴黎,329 ms
2606:4700:8392:4ba9:bac0:1d77:eb0c:2aea,CDG,欧洲,巴黎,329 ms
2606:4700:9c69:6a52:1d65:b9a8:166d:ae33,CDG,欧洲,巴黎,330 ms
2606:4700:9ad2:8cd5:1cc0:d1b:887b:8d11,CDG,欧洲,巴黎,330 ms
2606:4700:8396:9ddc:4adf:4c32:72ab:156d,CDG,欧洲,巴黎,331 ms
2606:4700:85d1:9d52:5562:e703:9c5c:e8c9,CDG,欧洲,巴黎,331 ms
2606:4700:8d7f:650:d32a:9b66:b157:7234,CDG,欧洲,巴黎,331 ms
2606:4700:91bd:1913:fc30:2a5c:fab5:2f0c,CDG,欧洲,巴黎,331 ms
2606:4700:9a97:ca5d:bf50:f5b0:e304:b3dd,CDG,欧洲,巴黎,332 ms
2606:4700:8d92:99b2:cea4:a3d3:d209:7b18,CDG,欧洲,巴黎,332 ms
2606:4700:9ad9:95d2:c993:872a:1210:23e1,CDG,欧洲,巴黎,332 ms
2606:4700:9641:26d2:a2c5:79ad:5808:eef4,CDG,欧洲,巴黎,332 ms
2606:4700:9ad6:7c48:9b4f:e10:ba3a:e8e0,CDG,欧洲,巴黎,333 ms
2606:4700:9ad8:e2cb:2354:4e6d:e4df:73de,CDG,欧洲,巴黎,333 ms
2606:4700:9c63:a2af:4050:c652:61a4:adef,CDG,欧洲,巴黎,333 ms
2606:4700:90d0:4f20:976d:378e:2184:f695,CDG,欧洲,巴黎,333 ms
2606:4700:9c66:cc94:49aa:92b3:5409:75dc,CDG,欧洲,巴黎,333 ms
2606:4700:83bf:4aeb:1153:5fad:d86d:db1a,CDG,欧洲,巴黎,333 ms
2606:4700:8ca2:42d4:23ce:b06c:5ec1:13c4,CDG,欧洲,巴黎,334 ms
2606:4700:99e1:2741:c098:e31a:262b:d56f,CDG,欧洲,巴黎,334 ms
2606:4700:9a6e:b584:796e:af98:9b59:d98e,CDG,欧洲,巴黎,334 ms
2606:4700:8dd7:7a50:4b9c:b22f:bd0b:b13c,CDG,欧洲,巴黎,334 ms
2606:4700:9a9c:79b1:2e4c:5763:15a2:4d7a,CDG,欧洲,巴黎,334 ms
2606:4700:9c6e:4e86:b947:4e7c:4fcd:286,CDG,欧洲,巴黎,334 ms
2606:4700:976f:594b:e72e:5c8a:b43c:7d17,CDG,欧洲,巴黎,334 ms
2606:4700:9768:da67:7399:edea:213c:2c8f,CDG,欧洲,巴黎,335 ms
2606:4700:90d5:2161:8514:f3d9:656d:95a5,CDG,欧洲,巴黎,335 ms
2606:4700:9a93:b945:6676:178e:3315:be90,CDG,欧洲,巴黎,335 ms
2606:4700:9a9b:12e2:1489:172f:5acc:12dc,CDG,欧洲,巴黎,335 ms
2606:4700:976e:ab75:3d7d:6a8e:b856:346d,CDG,欧洲,巴黎,335 ms
2606:4700:9c65:c890:e362:c4b0:9c6e:5379,CDG,欧洲,巴黎,335 ms
2606:4700:8d7e:b826:62a0:d84f:8c6f:9a5f,CDG,欧洲,巴黎,335 ms
2606:4700:90c8:7c41:ad23:ea8b:2e18:9ac,CDG,欧洲,巴黎,335 ms
2606:4700:90c4:f5f4:5676:9580:b5cd:bc4e,CDG,欧洲,巴黎,335 ms
2606:4700:90c1:2178:6b0d:59dc:77cf:3301,CDG,欧洲,巴黎,335 ms
2606:4700:99e8:547:6423:ada0:2864:8833,CDG,欧洲,巴黎,335 ms
2606:4700:8dea:751:8e68:e12e:b883:2484,CDG,欧洲,巴黎,335 ms
