IP地址,数据中心,地区,城市,网络延迟
2606:4700:9a9a:495e:f9b5:7594:fa23:d7aa,CDG,欧洲,巴黎,336 ms
2606:4700:99e5:4c69:7f4c:639f:21b4:b551,CDG,欧洲,巴黎,336 ms
2606:4700:8395:dfdc:3a20:5d6b:5258:6f77,CDG,欧洲,巴黎,336 ms
2606:4700:9a94:c61d:90bf:579f:9cde:3c9a,CDG,欧洲,巴黎,336 ms
2606:4700:8d7d:e834:e171:be69:3094:9599,CDG,欧洲,巴黎,336 ms
2606:4700:99e2:1146:5caf:2793:9023:380a,CDG,欧洲,巴黎,336 ms
2606:4700:9b01:fef6:6028:c154:75c9:6840,CDG,欧洲,巴黎,336 ms
2606:4700:9c61:62c0:c55c:746c:566a:3389,CDG,欧洲,巴黎,336 ms
2606:4700:8cab:545b:6a9e:5713:bd29:a5f9,CDG,欧洲,巴黎,336 ms
2606:4700:9adb:e2d0:459f:cdf0:59d4:b757,CDG,欧洲,巴黎,336 ms
2606:4700:90dd:5fe0:20df:6404:886e:7bd5,CDG,欧洲,巴黎,336 ms
2606:4700:9aed:1bb:f48d:446a:abeb:a778,CDG,欧洲,巴黎,336 ms
2606:4700:9642:6160:e451:758:f476:ed01,CDG,欧洲,巴黎,336 ms
2606:4700:8398:815f:cb49:baa6:8fc5:d173,CDG,欧洲,巴黎,336 ms
2606:4700:83bd:82d8:1fe8:ad8:a3ff:a92c,CDG,欧洲,巴黎,337 ms
2606:4700:91b3:314c:9663:5b41:93ca:e983,CDG,欧洲,巴黎,337 ms
2606:4700:8de8:3421:24f6:9feb:f7a0:7654,CDG,欧洲,巴黎,337 ms
2606:4700:9649:abc7:f168:3e01:7284:6af,CDG,欧洲,巴黎,337 ms
2606:4700:9ad4:2af:4520:a148:abdc:9784,CDG,欧洲,巴黎,337 ms
2606:4700:9c6b:5543:2142:7aa2:11c9:9464,CDG,欧洲,巴黎,337 ms
2606:4700:9ae2:7f18:4cb6:b616:a04d:bec1,CDG,欧洲,巴黎,337 ms
2606:4700:9a9e:b2b3:fb5d:fa6a:dc0a:68a6,CDG,欧洲,巴黎,337 ms
2606:4700:8397:c0f5:2d42:151b:c761:7a74,CDG,欧洲,巴黎,337 ms
2606:4700:9c6c:3d53:60bb:a55d:5bd8:b3fa,CDG,欧洲,巴黎,337 ms
2606:4700:8ca8:953f:383c:e2f7:5213:f9ea,CDG,欧洲,巴黎,337 ms
2606:4700:8393:3854:7112:e84c:523c:6b38,CDG,欧洲,巴黎,337 ms
2606:4700:8399:2354:5216:f6a7:9415:c2e2,CDG,欧洲,巴黎,338 ms
2606:4700:8ddd:2acb:29ef:f79a:946d:3e80,CDG,欧洲,巴黎,338 ms
2606:4700:9a95:1f49:3891:3de5:4c8d:648a,CDG,欧洲,巴黎,338 ms
2606:4700:99ec:b9aa:776:dea4:74c8:e495,CDG,欧洲,巴黎,338 ms
2606:4700:85d6:1b3d:927a:fb44:7239:47db,CDG,欧洲,巴黎,338 ms
2606:4700:8cae:850d:1962:fd63:918f:f757,CDG,欧洲,巴黎,338 ms
2606:4700:839e:4269:10a:31ca:fb50:d48d,CDG,欧洲,巴黎,338 ms
2606:4700:9b0d:2c90:f406:a09f:9acd:b86e,CDG,欧洲,巴黎,338 ms
2606:4700:8de5:ba78:ef66:6553:59c9:1c6a,CDG,欧洲,巴黎,338 ms
2606:4700:8dd8:c1c4:7ad4:a0db:821d:8447,CDG,欧洲,巴黎,339 ms
2606:4700:8dd5:b5ad:6d20:5e4a:7d2b:18d3,CDG,欧洲,巴黎,339 ms
2606:4700:9ad1:1b96:67c7:b9e9:31f:5a66,CDG,欧洲,巴黎,339 ms
2606:4700:90ce:d7d3:52a2:3503:ffb0:fd29,CDG,欧洲,巴黎,339 ms
2606:4700:90c3:c561:cdde:49a1:780f:92c2,CDG,欧洲,巴黎,339 ms
2606:4700:9aef:a415:b5d3:afd:742:6436,CDG,欧洲,巴黎,339 ms
2606:4700:85d7:4fd:72ea:1eec:f7c2:39c,CDG,欧洲,巴黎,339 ms
2606:4700:9ae3:3a36:db28:6d20:d533:820,CDG,欧洲,巴黎,339 ms
2606:4700:9b0f:3b6f:85da:aa40:e12:5855,CDG,欧洲,巴黎,339 ms
2606:4700:839f:63b0:f68:d562:44f0:86cc,CDG,欧洲,巴黎,339 ms
2606:4700:9c68:a4be:90ba:9fd5:6647:a941,CDG,欧洲,巴黎,339 ms
2606:4700:964a:9a0b:b44a:7afa:96e6:eac6,CDG,欧洲,巴黎,339 ms
2606:4700:9ad5:6bd3:f0a6:de8d:3edc:c128,CDG,欧洲,巴黎,339 ms
2606:4700:9769:6bf:572b:c061:b22e:45ad,CDG,欧洲,巴黎,339 ms
2606:4700:91b2:6882:738b:e169:62ce:1667,CDG,欧洲,巴黎,339 ms
2606:4700:9b0e:2dd3:c06c:58b5:18d:2578,CDG,欧洲,巴黎,339 ms
2606:4700:9a61:9dd7:628d:eeec:33db:f838,CDG,欧洲,巴黎,339 ms
2606:4700:91ba:b28e:b77a:1bb9:de46:9fd2,CDG,欧洲,巴黎,339 ms
2606:4700:90d8:ba47:628c:8760:85f9:9b35,CDG,欧洲,巴黎,339 ms
2606:4700:9c6f:16d0:37a5:45f5:6a30:7f3b,CDG,欧洲,巴黎,339 ms
2606:4700:8d9c:6596:5e95:c240:ace4:9db8,CDG,欧洲,巴黎,340 ms
2606:4700:964c:c247:5307:c1:41f1:b1c9,CDG,欧洲,巴黎,340 ms
2606:4700:90cd:90f8:bf53:ca9:34c8:17aa,CDG,欧洲,巴黎,340 ms
2606:4700:9aeb:7894:d62d:b585:20f1:d99d,CDG,欧洲,巴黎,340 ms
2606:4700:8d97:c155:6ab1:9674:439c:80a5,CDG,欧洲,巴黎,340 ms
2606:4700:8de0:c7a3:7bfd:313f:783:297a,CDG,欧洲,巴黎,340 ms
2606:4700:9b02:2df5:2fda:fb2f:ee74:260,CDG,欧洲,巴黎,340 ms
2606:4700:90df:fce4:1109:a9c:6959:1113,CDG,欧洲,巴黎,340 ms
2606:4700:8ca0:18bb:33db:e265:883a:bf2a,CDG,欧洲,巴黎,340 ms
2606:4700:9a98:b668:60bd:169e:568d:37de,CDG,欧洲,巴黎,340 ms
2606:4700:9a60:3896:11c4:148f:2d62:5856,CDG,欧洲,巴黎,340 ms
2606:4700:99e3:7aa2:ec53:7337:9cd7:b7cc,CDG,欧洲,巴黎,340 ms
2606:4700:85db:1cc1:bf4b:b461:d8d3:5368,CDG,欧洲,巴黎,340 ms
2606:4700:8d9a:a227:7935:f7e9:1f25:2dd2,CDG,欧洲,巴黎,340 ms
2606:4700:8d91:7238:76fe:2008:dd16:9cc8,CDG,欧洲,巴黎,340 ms
2606:4700:85d4:ce73:4430:8d69:adb0:63d4,CDG,欧洲,巴黎,341 ms
2606:4700:964b:9f60:9bc1:53a8:6679:cf07,CDG,欧洲,巴黎,341 ms
2606:4700:9c6a:2c28:197e:2f61:b7a2:dcbe,CDG,欧洲,巴黎,341 ms
2606:4700:964d:9b8b:e9d1:1d42:e88e:a6f6,CDG,欧洲,巴黎,341 ms
2606:4700:8d7c:8367:9b4:9cb3:d3a5:1a2b,CDG,欧洲,巴黎,341 ms
2606:4700:9643:fbca:d1b7:75a0:c31f:fc8a,CDG,欧洲,巴黎,341 ms
2606:4700:99e7:e661:62e4:715a:c135:941c,CDG,欧洲,巴黎,341 ms
2606:4700:8ca1:1988:8fda:739c:dcb6:fbb6,CDG,欧洲,巴黎,341 ms
2606:4700:9765:8a9:19db:e55d:5a6f:9202,CDG,欧洲,巴黎,341 ms
2606:4700:8390:76e6:3d7c:c5ad:88ad:d056,CDG,欧洲,巴黎,341 ms
2606:4700:8d73:975a:dbb3:cd63:cd3a:6070,CDG,欧洲,巴黎,341 ms
2606:4700:9761:7fe1:a071:ea0f:d94f:521,CDG,欧洲,巴黎,341 ms
2606:4700:8dd1:8f91:2bae:c984:e6ce:e0ff,CDG,欧洲,巴黎,341 ms
2606:4700:9c6d:2359:1142:f742:df2:8aa2,CDG,欧洲,巴黎,342 ms
2606:4700:9760:5204:f2a2:9fe6:bc30:d296,CDG,欧洲,巴黎,342 ms
2606:4700:85df:e37b:34b9:8d5a:5e48:ec82,CDG,欧洲,巴黎,342 ms
2606:4700:8dee:5880:a577:f869:2a77:320,CDG,欧洲,巴黎,342 ms
2606:4700:90d4:6ad0:99d4:83f2:f4c2:84fa,CDG,欧洲,巴黎,342 ms
2606:4700:9ad3:4ef3:6137:b691:4a8d:7243,CDG,欧洲,巴黎,342 ms
2606:4700:8deb:65c5:9789:d4bf:a8da:a831,CDG,欧洲,巴黎,342 ms
2606:4700:85da:ddc9:3802:ec78:39b1:1f6,CDG,欧洲,巴黎,342 ms
2606:4700:8d78:b144:c630:a9f3:24a6:e371,CDG,欧洲,巴黎,343 ms
2606:4700:91b9:1c21:7472:7b8b:6088:52ca,CDG,欧洲,巴黎,343 ms
2606:4700:85d3:1c23:933d:c59d:b541:7bfb,CDG,欧洲,巴黎,343 ms
2606:4700:9ad0:d5f6:59ec:edb2:e77:e539,CDG,欧洲,巴黎,343 ms
2606:4700:9c60:38ec:81cd:e7e0:509e:9051,CDG,欧洲,巴黎,343 ms
2606:4700:839a:151b:77f8:4eae:dbac:49d0,CDG,欧洲,巴黎,343 ms
2606:4700:9a99:ad6b:e287:741a:1e72:1a92,CDG,欧洲,巴黎,343 ms
2606:4700:8de7:d50c:5243:9f7e:6b2f:deed,CDG,欧洲,巴黎,343 ms
2606:4700:9b00:2dca:e5b5:f049:1990:f124,CDG,欧洲,巴黎,343 ms
2606:4700:8d7b:2827:7d5a:94c8:826c:4905,CDG,欧洲,巴黎,344 ms
2606:4700:99e0:fae6:dc37:d30a:bf07:444a,CDG,欧洲,巴黎,344 ms
2606:4700:9647:d30b:317b:5bba:5d04:8ecf,CDG,欧洲,巴黎,344 ms
2606:4700:9764:8f16:7dcd:9b12:e188:ef55,CDG,欧洲,巴黎,344 ms
2606:4700:9c64:beba:bddd:3cd2:d5f7:a4ed,CDG,欧洲,巴黎,344 ms
2606:4700:90de:cbcd:2c97:9f85:e194:6b0b,CDG,欧洲,巴黎,344 ms
2606:4700:8d94:ffca:a0cb:3a61:2a56:8000,CDG,欧洲,巴黎,345 ms
2606:4700:9b05:1054:81e7:522b:2b91:e5bf,CDG,欧洲,巴黎,345 ms
2606:4700:9645:a4d7:4b25:c4bb:24d1:2f4d,CDG,欧洲,巴黎,345 ms
2606:4700:8ddc:f522:389e:c6dc:5412:3a0,CDG,欧洲,巴黎,345 ms
2606:4700:8d90:d2ad:4223:1f24:ceb4:bd83,CDG,欧洲,巴黎,345 ms
2606:4700:9640:d5e8:9a2:b9c3:9e01:7a81,CDG,欧洲,巴黎,345 ms
2606:4700:9ae1:cc23:aa46:ec68:5c4d:468a,CDG,欧洲,巴黎,345 ms
2606:4700:91bb:c414:6d8d:a81b:60bb:e68d,CDG,欧洲,巴黎,345 ms
2606:4700:9ae8:d080:9ee6:f51c:8253:70f8,CDG,欧洲,巴黎,345 ms
2606:4700:8dd6:82f2:bfce:61ab:c425:8d09,CDG,欧洲,巴黎,345 ms
2606:4700:91be:ada0:8627:5954:f493:693b,CDG,欧洲,巴黎,346 ms
2606:4700:8caf:7057:3b8c:23c2:c8af:af2,CDG,欧洲,巴黎,346 ms
2606:4700:8d98:6cab:367c:86f:d16f:b5dc,CDG,欧洲,巴黎,346 ms
2606:4700:91b6:f56c:f866:4645:3b45:36a0,CDG,欧洲,巴黎,346 ms
2606:4700:9ae7:9cfd:a937:2423:ca6f:213,CDG,欧洲,巴黎,346 ms
2606:4700:8caa:da41:145e:3e22:38d5:7927,CDG,欧洲,巴黎,346 ms
2606:4700:8ca3:8bb1:3ff2:6dc1:21d0:242d,CDG,欧洲,巴黎,346 ms
2606:4700:8de9:d940:90ac:8fad:962e:6240,CDG,欧洲,巴黎,346 ms
2606:4700:8394:af71:2131:9852:c976:4066,CDG,欧洲,巴黎,346 ms
2606:4700:976c:6cb3:8961:956f:7296:c091,CDG,欧洲,巴黎,346 ms
2606:4700:8de6:20c9:78cc:56cc:e60e:9a63,CDG,欧洲,巴黎,346 ms
2606:4700:91bc:789d:a3c:b718:493a:a13e,CDG,欧洲,巴黎,347 ms
2606:4700:9763:2a7f:d917:f3a:e53:541c,CDG,欧洲,巴黎,347 ms
2606:4700:8d7a:f349:47a6:b44b:5086:b959,CDG,欧洲,巴黎,347 ms
2606:4700:8ca6:e2ff:1b53:d88f:beb6:4828,CDG,欧洲,巴黎,347 ms
2606:4700:8de3:e59:544e:93e7:b547:6203,CDG,欧洲,巴黎,347 ms
2606:4700:964e:2e2:41c8:ab42:b7a:5dcd,CDG,欧洲,巴黎,347 ms
2606:4700:9c62:ef2d:8663:be16:5473:303f,CDG,欧洲,巴黎,347 ms
2606:4700:8dda:f66f:f227:d325:4f90:ada2,CDG,欧洲,巴黎,347 ms
2606:4700:90c0:da3d:f3f2:417b:3a24:eb62,CDG,欧洲,巴黎,347 ms
2606:4700:8d71:6a24:ad22:38d0:5069:3c3a,CDG,欧洲,巴黎,347 ms
2606:4700:9646:7262:60a7:75cd:f3a0:f155,CDG,欧洲,巴黎,348 ms
2606:4700:9b04:8a14:6244:5ae3:2312:218a,CDG,欧洲,巴黎,348 ms
2606:4700:9aee:f619:5e9:517a:bdb8:458,CDG,欧洲,巴黎,348 ms
2606:4700:9ae5:b51a:6cd1:ad2f:28b1:2abb,CDG,欧洲,巴黎,348 ms
2606:4700:99e9:2e9:7936:a5f8:5cfa:5fe7,CDG,欧洲,巴黎,348 ms
2606:4700:85d5:b2c8:c6a9:100:2af1:aa7a,CDG,欧洲,巴黎,348 ms
2606:4700:8ca4:1cb5:742e:4efb:7995:9101,CDG,欧洲,巴黎,348 ms
2606:4700:9ade:661c:4630:b57d:8a5c:57fd,CDG,欧洲,巴黎,349 ms
2606:4700:8dde:d47e:3521:30fa:cf5f:95a7,CDG,欧洲,巴黎,349 ms
2606:4700:8de2:e6d9:8e9d:c94d:4814:bb1,CDG,欧洲,巴黎,349 ms
2606:4700:9767:c3fe:bbe3:fce5:3f0f:6fa4,CDG,欧洲,巴黎,349 ms
2606:4700:9644:b593:d070:f91d:3823:dd67,CDG,欧洲,巴黎,349 ms
2606:4700:8de4:d0ad:df2e:d5d7:bbc3:d8e5,CDG,欧洲,巴黎,349 ms
2606:4700:9aea:dd98:27aa:4e8c:edec:c287,CDG,欧洲,巴黎,349 ms
2606:4700:8d9b:9a31:3cf6:96ec:1d75:e886,CDG,欧洲,巴黎,349 ms
2606:4700:9add:641f:3d5e:8545:8035:e6d6,CDG,欧洲,巴黎,350 ms
2606:4700:90d1:6be4:d43e:2910:165:1b3c,CDG,欧洲,巴黎,350 ms
2606:4700:85d0:e7f:aa65:a3:4ad:e5b6,CDG,欧洲,巴黎,350 ms
2606:4700:8dd9:4f19:6fc6:8aaa:c92e:59f,CDG,欧洲,巴黎,350 ms
2606:4700:90d6:d1cb:862f:f793:9708:d332,CDG,欧洲,巴黎,350 ms
2606:4700:9b08:b89b:9949:79d3:c82d:9e35,CDG,欧洲,巴黎,351 ms
2606:4700:8d99:7aa2:d9a7:f89:dc4f:467f,CDG,欧洲,巴黎,351 ms
2606:4700:9aec:f6d6:8eba:73e:4b:4742,CDG,欧洲,巴黎,351 ms
2606:4700:91b7:240a:8449:8c0:1b92:1bf7,CDG,欧洲,巴黎,351 ms
2606:4700:8d77:2206:9e3:f529:4e54:391e,CDG,欧洲,巴黎,351 ms
2606:4700:90da:888b:3bdb:55d1:abb:6878,CDG,欧洲,巴黎,352 ms
2606:4700:8d9e:f24e:9b97:c748:1cb3:669b,CDG,欧洲,巴黎,352 ms
2606:4700:9ada:94bb:936c:23b0:55b7:9a05,CDG,欧洲,巴黎,352 ms
2606:4700:99e4:8179:70f4:e16b:2a62:eed8,CDG,欧洲,巴黎,352 ms
2606:4700:9766:47c3:3d8:f196:b1c1:6fbd,CDG,欧洲,巴黎,352 ms
2606:4700:9ae9:4655:7bd8:a849:59d6:c08b,CDG,欧洲,巴黎,352 ms
2606:4700:9a67:8923:33a9:afd1:e85d:3a8b,CDG,欧洲,巴黎,353 ms
2606:4700:91b1:75b1:bd61:e3c7:5466:efee,CDG,欧洲,巴黎,353 ms
2606:4700:90d2:df18:d6b:380a:99a8:4e29,CDG,欧洲,巴黎,353 ms
2606:4700:8def:2319:6323:136b:cc59:876d,CDG,欧洲,巴黎,353 ms
2606:4700:9a9d:69a6:4484:65b1:1a75:5163,CDG,欧洲,巴黎,353 ms
2606:4700:8cad:3d4e:1354:f501:955d:ded4,CDG,欧洲,巴黎,353 ms
2606:4700:90db:4c83:c5e6:34f6:1630:856c,CDG,欧洲,巴黎,354 ms
2606:4700:9a64:308b:dec0:242e:e63e:4d03,CDG,欧洲,巴黎,354 ms
2606:4700:9a69:edc:1df0:f284:af14:cc3f,CDG,欧洲,巴黎,354 ms
2606:4700:8de1:583:b34a:fa87:1fa5:2545,CDG,欧洲,巴黎,354 ms
2606:4700:9ae0:3d00:302d:ae8c:9b48:6c52,CDG,欧洲,巴黎,354 ms
2606:4700:85dd:c52a:25db:5c77:c42c:f0e2,CDG,欧洲,巴黎,354 ms
2606:4700:90c6:c323:77e1:92bd:1595:a7be,CDG,欧洲,巴黎,355 ms
2606:4700:8d76:7cef:8f38:b0aa:b322:737d,CDG,欧洲,巴黎,355 ms
2606:4700:91bf:4e63:de57:d57b:ad80:9971,CDG,欧洲,巴黎,355 ms
2606:4700:8ca9:d17c:a760:54f7:668f:704a,CDG,欧洲,巴黎,355 ms
2606:4700:8dd2:981e:56a3:f57:85f0:78e1,CDG,欧洲,巴黎,355 ms
2606:4700:85d9:ffbb:5f44:b74f:a1a6:1f78,CDG,欧洲,巴黎,355 ms
2606:4700:8d75:7584:4088:d846:1b2e:96c3,CDG,欧洲,巴黎,355 ms
2606:4700:83be:d53a:a35c:30bf:87fd:f19a,CDG,欧洲,巴黎,356 ms
2606:4700:9b09:83d9:ea21:a1d:c2e7:203a,CDG,欧洲,巴黎,357 ms
2606:4700:90c7:a805:ceb0:e7b3:ab05:2e52,CDG,欧洲,巴黎,357 ms
2606:4700:9a65:ad66:f833:9407:7852:d5f1,CDG,欧洲,巴黎,358 ms
2606:4700:839b:f703:36b6:bf82:bd15:5dd6,CDG,欧洲,巴黎,358 ms
2606:4700:976d:21ea:1708:45af:69f0:3a30,CDG,欧洲,巴黎,358 ms
2606:4700:8d72:e837:a0f2:9450:9e0:e5f3,CDG,欧洲,巴黎,358 ms
2606:4700:9adf:130d:be09:59fe:8919:70c9,CDG,欧洲,巴黎,358 ms
2606:4700:8391:aef7:32db:3974:f115:b1bb,CDG,欧洲,巴黎,359 ms
2606:4700:90cc:aa20:e591:d9f9:1fbd:e713,CDG,欧洲,巴黎,359 ms
2606:4700:91b8:2796:3496:246c:4234:36b4,CDG,欧洲,巴黎,359 ms
2606:4700:8ca5:4b6e:c693:a15:db4:8e87,CDG,欧洲,巴黎,359 ms
2606:4700:9648:228c:82c1:3b45:9443:ac40,CDG,欧洲,巴黎,360 ms
2606:4700:9b06:ca87:9f48:a9fa:a562:7bce,CDG,欧洲,巴黎,360 ms
2606:4700:85d2:dec7:550d:fb57:ee39:48ba,CDG,欧洲,巴黎,360 ms
2606:4700:8d9f:8e14:4b84:d6ba:2180:fbd,CDG,欧洲,巴黎,360 ms
2606:4700:9adc:fd47:6fdd:f081:faa2:868b,CDG,欧洲,巴黎,361 ms
2606:4700:90c2:27da:5223:f901:9453:d3dc,CDG,欧洲,巴黎,362 ms
2606:4700:9a92:e9d6:c8b9:d658:50b0:3435,CDG,欧洲,巴黎,362 ms
2606:4700:85de:1ccb:35c1:8356:2983:64a4,CDG,欧洲,巴黎,362 ms
2606:4700:8cac:f5fd:1509:7a43:916b:7ecc,CDG,欧洲,巴黎,362 ms
2606:4700:90cf:78fd:d399:172f:6e3f:3970,CDG,欧洲,巴黎,362 ms
2606:4700:8dd0:bdb1:bfe1:14a8:2180:1667,CDG,欧洲,巴黎,363 ms
2606:4700:9b0a:b590:ad96:e563:68e2:a6d,CDG,欧洲,巴黎,363 ms
2606:4700:9b07:3585:ee0e:1d6:f8c2:6690,CDG,欧洲,巴黎,363 ms
2606:4700:9a96:8444:df3e:6971:f77b:eb0b,CDG,欧洲,巴黎,364 ms
2606:4700:9a63:6a8:f6dd:e14f:4464:d8db,CDG,欧洲,巴黎,365 ms
2606:4700:8d70:844:6c69:5a1c:b2c6:5d14,CDG,欧洲,巴黎,365 ms
2606:4700:90dc:16ed:4020:5b7c:be80:d905,CDG,欧洲,巴黎,366 ms
2606:4700:85dc:de28:10f8:5c00:7f28:b52,CDG,欧洲,巴黎,366 ms
2606:4700:9a6f:2154:2ea6:814c:fe0a:90e7,CDG,欧洲,巴黎,367 ms
2606:4700:85d8:1c0b:bc38:b7f5:9906:b732,CDG,欧洲,巴黎,368 ms
2606:4700:9a6c:7a02:86d5:fffa:5191:367e,CDG,欧洲,巴黎,369 ms
2606:4700:8ca7:733b:a62e:b08:f4ba:511e,CDG,欧洲,巴黎,369 ms
2606:4700:839d:4bda:ddca:2df9:7aef:9f7c,CDG,欧洲,巴黎,370 ms
2606:4700:9b0b:afa8:8bd2:9dfb:39b:3fe9,CDG,欧洲,巴黎,370 ms
2606:4700:839c:6dfc:e971:e0de:fd06:b01c,CDG,欧洲,巴黎,370 ms
2606:4700:91b0:cae7:532d:c9ae:fc49:e346,CDG,欧洲,巴黎,371 ms
2606:4700:8ddb:4010:2b50:dcaa:62e:e40b,CDG,欧洲,巴黎,373 ms
2606:4700:90c5:8ac5:1a3:f50c:f296:4cfc,CDG,欧洲,巴黎,373 ms
2606:4700:976b:55fb:6fda:5ebd:1313:5905,CDG,欧洲,巴黎,374 ms
2606:4700:99ef:e891:cf3e:b104:67be:26a1,CDG,欧洲,巴黎,375 ms
2606:4700:8dd3:db93:9a91:44dd:ec:19f8,CDG,欧洲,巴黎,376 ms
2606:4700:964f:9dae:a195:2bb3:bdf9:10f1,CDG,欧洲,巴黎,376 ms
2606:4700:8d95:727c:1b4b:e0f8:b3ed:f2fc,CDG,欧洲,巴黎,377 ms
2606:4700:90d7:4ea5:5937:f788:4a81:49d5,CDG,欧洲,巴黎,377 ms
2606:4700:9a66:69e8:ec00:6df0:b0a:3a9c,CDG,欧洲,巴黎,379 ms
2606:4700:976a:3fc6:fd85:7091:3975:3da8,CDG,欧洲,巴黎,380 ms
2606:4700:91b4:9ce:22c8:73cf:4648:1d8b,CDG,欧洲,巴黎,380 ms
2606:4700:99ee:85ec:3465:9eea:e764:9642,CDG,欧洲,巴黎,382 ms
2606:4700:9762:1c41:5ada:2b99:f1c7:99dd,CDG,欧洲,巴黎,382 ms
2606:4700:9ae6:6f85:40c3:8682:5976:75c8,CDG,欧洲,巴黎,382 ms
2606:4700:9b0c:325b:398e:6055:55fc:54de,CDG,欧洲,巴黎,384 ms
2606:4700:83b8:8821:11fc:6e08:8caf:e8a0,MAA,亚太地区,金奈,413 ms
2606:4700:83b0:a9b9:fed4:868c:39ee:c12d,MAA,亚太地区,金奈,417 ms
2606:4700:83b2:82:3356:67a8:d862:7ecd,MAA,亚太地区,金奈,419 ms
2606:4700:83ba:ded5:ac1f:f26b:6f7:9d4a,MAA,亚太地区,金奈,432 ms
2606:4700:83b4:4f77:368a:1761:6357:5723,MAA,亚太地区,金奈,436 ms
2606:4700:83b3:640d:f718:9ddd:2f6d:fbbc,MAA,亚太地区,金奈,437 ms
2606:4700:83b9:10d6:f468:294c:8b27:7e7e,MAA,亚太地区,金奈,459 ms
2606:4700:83b7:836e:8e88:a919:25f1:a36c,MAA,亚太地区,金奈,475 ms
2606:4700:83b5:bf4b:7932:3cef:7925:3e7c,MAA,亚太地区,金奈,528 ms
2606:4700:83b1:80bd:4bf:a5b7:2bdd:8ebc,MAA,亚太地区,金奈,538 ms
2606:4700:83b6:2ffa:bd79:1535:cc1:7812,MAA,亚太地区,金奈,540 ms
